Term: 12                             Term Frequency: 4         
Term: 15                             Term Frequency: 4         
Term: 17                             Term Frequency: 4         
Term: 19                             Term Frequency: 4         
Term: 22                             Term Frequency: 4         
Term: 25                             Term Frequency: 4         
Term: relationship                   Term Frequency: 4         
Term: 30                             Term Frequency: 4         
Term: 39                             Term Frequency: 4         
Term: 40                             Term Frequency: 4         
Term: 41                             Term Frequency: 4         
Term: 48                             Term Frequency: 4         
Term: 56                             Term Frequency: 4         
Term: 75                             Term Frequency: 4         
Term: 90                             Term Frequency: 4         
Term: assessment                     Term Frequency: 4         
Term: need                           Term Frequency: 4         
Term: called                         Term Frequency: 4         
Term: another                        Term Frequency: 4         
Term: next                           Term Frequency: 4         
Term: wet                            Term Frequency: 4         
Term: section                        Term Frequency: 4         
Term: them                           Term Frequency: 4         
Term: concepts                       Term Frequency: 4         
Term: secs                           Term Frequency: 4         
Term: previous                       Term Frequency: 4         
Term: introduced                     Term Frequency: 4         
Term: i.e                            Term Frequency: 4         
Term: whether                        Term Frequency: 4         
Term: input                          Term Frequency: 4         
Term: found                          Term Frequency: 4         
Term: consistent                     Term Frequency: 4         
Term: potential                      Term Frequency: 4         
Term: limitations                    Term Frequency: 4         
Term: frontal                        Term Frequency: 4         
Term: sensor                         Term Frequency: 4         
Term: collect                        Term Frequency: 4         
Term: minute                         Term Frequency: 4         
Term: show                           Term Frequency: 4         
Term: learner                        Term Frequency: 4         
Term: words                          Term Frequency: 4         
Term: expert                         Term Frequency: 4         
Term: viable                         Term Frequency: 4         
Term: cross                          Term Frequency: 4         
Term: throughout                     Term Frequency: 4         
Term: types                          Term Frequency: 4         
Term: parietal                       Term Frequency: 4         
Term: assess                         Term Frequency: 4         
Term: address                        Term Frequency: 4         
Term: blocks                         Term Frequency: 4         
Term: university                     Term Frequency: 4         
Term: does                           Term Frequency: 4         
Term: cohesion                       Term Frequency: 4         
Term: adult                          Term Frequency: 4         
Term: paired                         Term Frequency: 4         
Term: rather                         Term Frequency: 4         
Term: whereas                        Term Frequency: 4         
Term: classification                 Term Frequency: 4         
Term: reliably                       Term Frequency: 4         
Term: sequence                       Term Frequency: 4         
Term: variable                       Term Frequency: 4         
Term: materials                      Term Frequency: 4         
Term: optimize                       Term Frequency: 4         
Term: what                           Term Frequency: 4         
Term: traditional                    Term Frequency: 4         
Term: like                           Term Frequency: 4         
Term: cost                           Term Frequency: 4         
Term: your                           Term Frequency: 4         
Term: linear                         Term Frequency: 4         
Term: environments                   Term Frequency: 4         
Term: clinical                       Term Frequency: 4         
Term: intrinsic                      Term Frequency: 4         
Term: knowledge                      Term Frequency: 4         
Term: take                           Term Frequency: 4         
Term: relatively                     Term Frequency: 4         
Term: 2010                           Term Frequency: 4         
Term: 2008                           Term Frequency: 4         
Term: 2013                           Term Frequency: 4         
Term: collection                     Term Frequency: 4         
Term: conducted                      Term Frequency: 4         
Term: any                            Term Frequency: 4         
Term: accurate                       Term Frequency: 4         
Term: affective                      Term Frequency: 4         
Term: setup                          Term Frequency: 4         
Term: modes                          Term Frequency: 4         
Term: advances                       Term Frequency: 4         
Term: chance                         Term Frequency: 4         
Term: frequency                      Term Frequency: 4         
Term: trophic                        Term Frequency: 4         
Term: 0                              Term Frequency: 3         
Term: top                            Term Frequency: 3         
Term: times                          Term Frequency: 3         
Term: electroencephalography         Term Frequency: 3         
Term: technologies                   Term Frequency: 3         
Term: wireless                       Term Frequency: 3         
Term: term                           Term Frequency: 3         
Term: computational                  Term Frequency: 3         
Term: length                         Term Frequency: 3         
Term: revealed                       Term Frequency: 3         
Term: invalid                        Term Frequency: 3         
Term: extraneous                     Term Frequency: 3         
Term: make                           Term Frequency: 3         
Term: 05                             Term Frequency: 3         
Term: 13                             Term Frequency: 3         
Term: 14                             Term Frequency: 3         
Term: 36                             Term Frequency: 3         
Term: many                           Term Frequency: 3         
Term: agent                          Term Frequency: 3         
Term: 55                             Term Frequency: 3         
Term: 60                             Term Frequency: 3         
Term: 62                             Term Frequency: 3         
Term: 65                             Term Frequency: 3         
Term: appropriate                    Term Frequency: 3         
Term: least                          Term Frequency: 3         
Term: tests                          Term Frequency: 3         
Term: end                            Term Frequency: 3         
Term: ecological                     Term Frequency: 3         
Term: asked                          Term Frequency: 3         
Term: 469                            Term Frequency: 3         
Term: expected                       Term Frequency: 3         
Term: monitoring                     Term Frequency: 3         
Term: eye                            Term Frequency: 3         
Term: improving                      Term Frequency: 3         
Term: way                            Term Frequency: 3         
Term: play                           Term Frequency: 3         
Term: issues                         Term Frequency: 3         
Term: statistics                     Term Frequency: 3         
Term: food                           Term Frequency: 3         
Term: 11th                           Term Frequency: 3         
Term: do                             Term Frequency: 3         
Term: needs                          Term Frequency: 3         
Term: digital                        Term Frequency: 3         
Term: gaze                           Term Frequency: 3         
Term: recent                         Term Frequency: 3         
Term: closed                         Term Frequency: 3         
Term: changes                        Term Frequency: 3         
Term: type                           Term Frequency: 3         
Term: help                           Term Frequency: 3         
Term: self                           Term Frequency: 3         
Term: scale                          Term Frequency: 3         
Term: observations                   Term Frequency: 3         
Term: without                        Term Frequency: 3         
Term: much                           Term Frequency: 3         
Term: adopted                        Term Frequency: 3         
Term: changing                       Term Frequency: 3         
Term: referential                    Term Frequency: 3         
Term: qstates                        Term Frequency: 3         
Term: discussion                     Term Frequency: 3         
Term: had                            Term Frequency: 3         
Term: yet                            Term Frequency: 3         
Term: having                         Term Frequency: 3         
Term: ways                           Term Frequency: 3         
Term: small                          Term Frequency: 3         
Term: regression                     Term Frequency: 3         
Term: generalize                     Term Frequency: 3         
Term: problems                       Term Frequency: 3         
Term: fact                           Term Frequency: 3         
Term: temperature                    Term Frequency: 3         
Term: laboratory                     Term Frequency: 3         
Term: post                           Term Frequency: 3         
Term: points                         Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: taken                          Term Frequency: 3         
Term: either                         Term Frequency: 3         
Term: estimates                      Term Frequency: 3         
Term: signals                        Term Frequency: 3         
Term: validity                       Term Frequency: 3         
Term: contact                        Term Frequency: 3         
Term: wearing                        Term Frequency: 3         
Term: prompt                         Term Frequency: 3         
Term: fatigue                        Term Frequency: 3         
Term: once                           Term Frequency: 3         
Term: site                           Term Frequency: 3         
Term: should                         Term Frequency: 3         
Term: individual                     Term Frequency: 3         
Term: comparing                      Term Frequency: 3         
Term: studies                        Term Frequency: 3         
Term: corresponding                  Term Frequency: 3         
Term: outcomes                       Term Frequency: 3         
Term: syntactic                      Term Frequency: 3         
Term: others                         Term Frequency: 3         
Term: press                          Term Frequency: 3         
Term: develop                        Term Frequency: 3         
Term: interactive                    Term Frequency: 3         
Term: computed                       Term Frequency: 3         
Term: phases                         Term Frequency: 3         
Term: ease                           Term Frequency: 3         
Term: adaptive                       Term Frequency: 3         
Term: recommendations                Term Frequency: 3         
Term: signal                         Term Frequency: 3         
Term: skin                           Term Frequency: 3         
Term: tailor                         Term Frequency: 3         
Term: reliable                       Term Frequency: 3         
Term: dimensions                     Term Frequency: 3         
Term: behavior                       Term Frequency: 3         
Term: automatically                  Term Frequency: 3         
Term: direct                         Term Frequency: 3         
Term: flesch                         Term Frequency: 3         
Term: uses                           Term Frequency: 3         
Term: significantly                  Term Frequency: 3         
Term: keyboard                       Term Frequency: 3         
Term: variety                        Term Frequency: 3         
Term: method                         Term Frequency: 3         
Term: samples                        Term Frequency: 3         
Term: locations                      Term Frequency: 3         
Term: neuroscience                   Term Frequency: 3         
Term: correlation                    Term Frequency: 3         
Term: interface                      Term Frequency: 3         
Term: per                            Term Frequency: 3         
Term: even                           Term Frequency: 3         
Term: imposed                        Term Frequency: 3         
Term: detectors                      Term Frequency: 3         
Term: given                          Term Frequency: 3         
Term: correlated                     Term Frequency: 3         
Term: overview                       Term Frequency: 3         
Term: methods                        Term Frequency: 3         
Term: major                          Term Frequency: 3         
Term: process                        Term Frequency: 3         
Term: account                        Term Frequency: 3         
Term: evaluation                     Term Frequency: 3         
Term: 2009                           Term Frequency: 3         
Term: 2017                           Term Frequency: 3         
Term: material                       Term Frequency: 3         
Term: 2015                           Term Frequency: 3         
Term: appears                        Term Frequency: 3         
Term: processing                     Term Frequency: 3         
Term: answered                       Term Frequency: 3         
Term: assessing                      Term Frequency: 3         
Term: building                       Term Frequency: 3         
Term: setting                        Term Frequency: 3         
Term: animated                       Term Frequency: 3         
Term: thought                        Term Frequency: 3         
Term: increased                      Term Frequency: 3         
Term: target                         Term Frequency: 3         
Term: narrativity                    Term Frequency: 3         
Term: interactions                   Term Frequency: 3         
Term: set                            Term Frequency: 3         
Term: procedure                      Term Frequency: 3         
Term: six                            Term Frequency: 3         
Term: multimedia                     Term Frequency: 3         
Term: extended                       Term Frequency: 3         
Term: 134                            Term Frequency: 3         
Term: 137                            Term Frequency: 3         
Term: higher                         Term Frequency: 3         
Term: children                       Term Frequency: 3         
Term: recall                         Term Frequency: 3         
Term: pick                           Term Frequency: 2         
Term: squares                        Term Frequency: 2         
Term: click                          Term Frequency: 2         
Term: same                           Term Frequency: 2         
Term: blood                          Term Frequency: 2         
Term: good                           Term Frequency: 2         
Term: serious                        Term Frequency: 2         
Term: neural                         Term Frequency: 2         
Term: block                          Term Frequency: 2         
Term: too                            Term Frequency: 2         
Term: 2.5                            Term Frequency: 2         
Term: stable                         Term Frequency: 2         
Term: respond                        Term Frequency: 2         
Term: 234                            Term Frequency: 2         
Term: 237                            Term Frequency: 2         
Term: reported                       Term Frequency: 2         
Term: 260                            Term Frequency: 2         
Term: 269                            Term Frequency: 2         
Term: 293                            Term Frequency: 2         
Term: hours                          Term Frequency: 2         
Term: measured                       Term Frequency: 2         
Term: regulate                       Term Frequency: 2         
Term: enter                          Term Frequency: 2         
Term: requires                       Term Frequency: 2         
Term: tutor’s                        Term Frequency: 2         
Term: created                        Term Frequency: 2         
Term: compare                        Term Frequency: 2         
Term: known                          Term Frequency: 2         
Term: credit                         Term Frequency: 2         
Term: 16                             Term Frequency: 2         
Term: 23                             Term Frequency: 2         
Term: 27                             Term Frequency: 2         
Term: 29                             Term Frequency: 2         
Term: 371                            Term Frequency: 2         
Term: examined                       Term Frequency: 2         
Term: 31                             Term Frequency: 2         
Term: 32                             Term Frequency: 2         
Term: 33                             Term Frequency: 2         
Term: 35                             Term Frequency: 2         
Term: 43                             Term Frequency: 2         
Term: 45                             Term Frequency: 2         
Term: 46                             Term Frequency: 2         
Term: 47                             Term Frequency: 2         
Term: 51                             Term Frequency: 2         
Term: 67                             Term Frequency: 2         
Term: speed                          Term Frequency: 2         
Term: common                         Term Frequency: 2         
Term: 83                             Term Frequency: 2         
Term: 86                             Term Frequency: 2         
Term: relate                         Term Frequency: 2         
