Term: cs.cmu.edu                     Term Frequency: 3         
Term: given                          Term Frequency: 3         
Term: correlated                     Term Frequency: 3         
Term: tree                           Term Frequency: 3         
Term: just                           Term Frequency: 3         
Term: 2016                           Term Frequency: 3         
Term: else’s                         Term Frequency: 3         
Term: fine                           Term Frequency: 3         
Term: processing                     Term Frequency: 3         
Term: definition                     Term Frequency: 3         
Term: reasoning                      Term Frequency: 3         
Term: performance                    Term Frequency: 3         
Term: building                       Term Frequency: 3         
Term: interventions                  Term Frequency: 3         
Term: aim                            Term Frequency: 3         
Term: instructional                  Term Frequency: 3         
Term: introduce                      Term Frequency: 3         
Term: most                           Term Frequency: 3         
Term: generative                     Term Frequency: 3         
Term: she                            Term Frequency: 3         
Term: little                         Term Frequency: 3         
Term: retardation                    Term Frequency: 3         
Term: modes                          Term Frequency: 3         
Term: 119                            Term Frequency: 3         
Term: natural                        Term Frequency: 3         
Term: comprehension                  Term Frequency: 3         
Term: towards                        Term Frequency: 3         
Term: category                       Term Frequency: 3         
Term: click                          Term Frequency: 2         
Term: after                          Term Frequency: 2         
Term: x                              Term Frequency: 2         
Term: good                           Term Frequency: 2         
Term: representation                 Term Frequency: 2         
Term: provides                       Term Frequency: 2         
Term: 1079                           Term Frequency: 2         
Term: comparator                     Term Frequency: 2         
Term: specialized                    Term Frequency: 2         
Term: effective                      Term Frequency: 2         
Term: reported                       Term Frequency: 2         
Term: think                          Term Frequency: 2         
Term: 10.1207                        Term Frequency: 2         
Term: reducing                       Term Frequency: 2         
Term: requires                       Term Frequency: 2         
Term: pointing                       Term Frequency: 2         
Term: formal                         Term Frequency: 2         
Term: build                          Term Frequency: 2         
Term: acquisition                    Term Frequency: 2         
Term: dendrites                      Term Frequency: 2         
Term: made                           Term Frequency: 2         
Term: 3.1                            Term Frequency: 2         
Term: underlined                     Term Frequency: 2         
Term: main                           Term Frequency: 2         
Term: included                       Term Frequency: 2         
Term: clustering                     Term Frequency: 2         
Term: 10.1109                        Term Frequency: 2         
Term: 13                             Term Frequency: 2         
Term: 17                             Term Frequency: 2         
Term: 18                             Term Frequency: 2         
Term: 19                             Term Frequency: 2         
Term: 20                             Term Frequency: 2         
Term: 21                             Term Frequency: 2         
Term: 22                             Term Frequency: 2         
Term: 23                             Term Frequency: 2         
Term: 24                             Term Frequency: 2         
Term: examine                        Term Frequency: 2         
Term: 27                             Term Frequency: 2         
Term: seven                          Term Frequency: 2         
Term: themselves                     Term Frequency: 2         
Term: controlling                    Term Frequency: 2         
Term: across                         Term Frequency: 2         
Term: mining                         Term Frequency: 2         
Term: advantage                      Term Frequency: 2         
Term: instead                        Term Frequency: 2         
Term: 3864                           Term Frequency: 2         
Term: version                        Term Frequency: 2         
Term: annotation                     Term Frequency: 2         
Term: evidence                       Term Frequency: 2         
Term: need                           Term Frequency: 2         
Term: users                          Term Frequency: 2         
Term: tests                          Term Frequency: 2         
Term: 4.1                            Term Frequency: 2         
Term: 4.2                            Term Frequency: 2         
Term: 4.3                            Term Frequency: 2         
Term: 0.019                          Term Frequency: 2         
Term: disorders                      Term Frequency: 2         
Term: skills                         Term Frequency: 2         
Term: expected                       Term Frequency: 2         
Term: situational                    Term Frequency: 2         
Term: features                       Term Frequency: 2         
Term: attempted                      Term Frequency: 2         
Term: decide                         Term Frequency: 2         
Term: web                            Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: presented                      Term Frequency: 2         
Term: contribute                     Term Frequency: 2         
Term: analyzing                      Term Frequency: 2         
Term: proxy                          Term Frequency: 2         
Term: interpretation                 Term Frequency: 2         
Term: df                             Term Frequency: 2         
Term: rare                           Term Frequency: 2         
Term: watching                       Term Frequency: 2         
Term: pageviews                      Term Frequency: 2         
Term: form                           Term Frequency: 2         
Term: else                           Term Frequency: 2         
Term: manipulation                   Term Frequency: 2         
Term: predicting                     Term Frequency: 2         
Term: author                         Term Frequency: 2         
Term: registered                     Term Frequency: 2         
Term: grouped                        Term Frequency: 2         
Term: single                         Term Frequency: 2         
Term: deeper                         Term Frequency: 2         
Term: type                           Term Frequency: 2         
Term: beyond                         Term Frequency: 2         
Term: get                            Term Frequency: 2         
Term: scale                          Term Frequency: 2         
Term: asynchronous                   Term Frequency: 2         
Term: follow                         Term Frequency: 2         
Term: contrasting                    Term Frequency: 2         
Term: i.e                            Term Frequency: 2         
Term: namely                         Term Frequency: 2         
Term: sampled                        Term Frequency: 2         
Term: fiber                          Term Frequency: 2         
Term: analyze                        Term Frequency: 2         
Term: accounting                     Term Frequency: 2         
Term: measure                        Term Frequency: 2         
Term: effort                         Term Frequency: 2         
Term: observing                      Term Frequency: 2         
Term: small                          Term Frequency: 2         
Term: qualitative                    Term Frequency: 2         
Term: you                            Term Frequency: 2         
Term: limitations                    Term Frequency: 2         
Term: opportunity                    Term Frequency: 2         
Term: notice                         Term Frequency: 2         
Term: dropped                        Term Frequency: 2         
Term: difficult                      Term Frequency: 2         
Term: coded                          Term Frequency: 2         
Term: nevertheless                   Term Frequency: 2         
Term: triggering                     Term Frequency: 2         
Term: characteristics                Term Frequency: 2         
Term: deficiency                     Term Frequency: 2         
Term: perfect                        Term Frequency: 2         
Term: differential                   Term Frequency: 2         
Term: adapted                        Term Frequency: 2         
Term: its                            Term Frequency: 2         
Term: variation                      Term Frequency: 2         
Term: read                           Term Frequency: 2         
Term: real                           Term Frequency: 2         
Term: looked                         Term Frequency: 2         
Term: productive                     Term Frequency: 2         
Term: exclusive                      Term Frequency: 2         
Term: challenging                    Term Frequency: 2         
Term: learned                        Term Frequency: 2         
Term: learner                        Term Frequency: 2         
Term: harsh                          Term Frequency: 2         
Term: rest                           Term Frequency: 2         
Term: original                       Term Frequency: 2         
Term: accurately                     Term Frequency: 2         
Term: offered                        Term Frequency: 2         
Term: parts                          Term Frequency: 2         
Term: helps                          Term Frequency: 2         
Term: 978                            Term Frequency: 2         
Term: expressed                      Term Frequency: 2         
Term: directly                       Term Frequency: 2         
Term: administered                   Term Frequency: 2         
Term: degree                         Term Frequency: 2         
Term: types                          Term Frequency: 2         
Term: subpopulations                 Term Frequency: 2         
Term: place                          Term Frequency: 2         
Term: lead                           Term Frequency: 2         
Term: comparing                      Term Frequency: 2         
Term: computing                      Term Frequency: 2         
Term: match                          Term Frequency: 2         
Term: statistical                    Term Frequency: 2         
Term: others                         Term Frequency: 2         
Term: behavioral                     Term Frequency: 2         
Term: poorer                         Term Frequency: 2         
Term: respectively                   Term Frequency: 2         
Term: upon                           Term Frequency: 2         
Term: gratification                  Term Frequency: 2         
Term: fixed                          Term Frequency: 2         
Term: computed                       Term Frequency: 2         
Term: multivariate                   Term Frequency: 2         
Term: 1998                           Term Frequency: 2         
Term: lot                            Term Frequency: 2         
Term: clicked                        Term Frequency: 2         
Term: coherence                      Term Frequency: 2         
Term: mutually                       Term Frequency: 2         
Term: whose                          Term Frequency: 2         
Term: rather                         Term Frequency: 2         
Term: permission                     Term Frequency: 2         
Term: whereas                        Term Frequency: 2         
Term: classification                 Term Frequency: 2         
Term: feet                           Term Frequency: 2         
Term: above                          Term Frequency: 2         
Term: association                    Term Frequency: 2         
Term: texts                          Term Frequency: 2         
Term: operationalize                 Term Frequency: 2         
Term: claimed                        Term Frequency: 2         
Term: whole                          Term Frequency: 2         
Term: still                          Term Frequency: 2         
Term: toward                         Term Frequency: 2         
Term: among                          Term Frequency: 2         
Term: person’s                       Term Frequency: 2         
Term: minimize                       Term Frequency: 2         
Term: rich                           Term Frequency: 2         
Term: mapping                        Term Frequency: 2         
Term: thousands                      Term Frequency: 2         
Term: pages                          Term Frequency: 2         
Term: automatically                  Term Frequency: 2         
Term: genetic                        Term Frequency: 2         
Term: supported                      Term Frequency: 2         
Term: investigated                   Term Frequency: 2         
Term: whom                           Term Frequency: 2         
Term: class                          Term Frequency: 2         
Term: issue                          Term Frequency: 2         
Term: lower                          Term Frequency: 2         
Term: traditional                    Term Frequency: 2         
Term: brief                          Term Frequency: 2         
Term: elicit                         Term Frequency: 2         
Term: wide                           Term Frequency: 2         
Term: problem                        Term Frequency: 2         
Term: presence                       Term Frequency: 2         
Term: come                           Term Frequency: 2         
Term: distribution                   Term Frequency: 2         
Term: out                            Term Frequency: 2         
Term: own                            Term Frequency: 2         
Term: discuss                        Term Frequency: 2         
Term: prevalence                     Term Frequency: 2         
Term: linear                         Term Frequency: 2         
Term: rarely                         Term Frequency: 2         
Term: receive                        Term Frequency: 2         
Term: intrinsic                      Term Frequency: 2         
Term: anything                       Term Frequency: 2         
Term: identified                     Term Frequency: 2         
Term: major                          Term Frequency: 2         
Term: applying                       Term Frequency: 2         
Term: account                        Term Frequency: 2         
Term: analytic                       Term Frequency: 2         
Term: take                           Term Frequency: 2         
Term: soma                           Term Frequency: 2         
Term: additional                     Term Frequency: 2         
Term: 2006                           Term Frequency: 2         
Term: 2013                           Term Frequency: 2         
Term: s.d                            Term Frequency: 2         
Term: infer                          Term Frequency: 2         
Term: contribution                   Term Frequency: 2         
Term: causal                         Term Frequency: 2         
Term: permissions                    Term Frequency: 2         
Term: caused                         Term Frequency: 2         
Term: covered                        Term Frequency: 2         
Term: scaffolding                    Term Frequency: 2         
Term: therefore                      Term Frequency: 2         
Term: muscles                        Term Frequency: 2         
Term: mode                           Term Frequency: 2         
Term: always                         Term Frequency: 2         
Term: conducted                      Term Frequency: 2         
Term: suggested                      Term Frequency: 2         
Term: consists                       Term Frequency: 2         
Term: bowel                          Term Frequency: 2         
Term: discourse                      Term Frequency: 2         
Term: collected                      Term Frequency: 2         
Term: seldom                         Term Frequency: 2         
Term: connections                    Term Frequency: 2         
Term: described                      Term Frequency: 2         
Term: kind                           Term Frequency: 2         
Term: interactions                   Term Frequency: 2         
Term: amount                         Term Frequency: 2         
Term: increase                       Term Frequency: 2         
Term: simply                         Term Frequency: 2         
Term: submitted                      Term Frequency: 2         
Term: scheme                         Term Frequency: 2         
Term: affect                         Term Frequency: 2         
Term: set                            Term Frequency: 2         
Term: sample                         Term Frequency: 2         
Term: begin                          Term Frequency: 2         
Term: viewed                         Term Frequency: 2         
Term: several                        Term Frequency: 2         
Term: coherent                       Term Frequency: 2         
Term: 111                            Term Frequency: 2         
