Term: Triana                         Term Frequency: 0         
Term: InformationVisualization       Term Frequency: 0         
Term: Kay                            Term Frequency: 0         
Term: Klerkx                         Term Frequency: 0         
Term: Information                    Term Frequency: 0         
Term: of                             Term Frequency: 0         
Term: on                             Term Frequency: 0         
Term: or                             Term Frequency: 0         
Term: work.The                       Term Frequency: 0         
Term: Owner                          Term Frequency: 0         
Term: Cambridge                      Term Frequency: 0         
Term: they                           Term Frequency: 0         
Term: Govaerts                       Term Frequency: 0         
Term: fit.fraunhofer.deAbelardo      Term Frequency: 0         
Term: CONCLUSIONWe                   Term Frequency: 0         
Term: GilletSchool                   Term Frequency: 0         
Term: 9CH                            Term Frequency: 0         
Term: VAST                           Term Frequency: 0         
Term: VASTchallenge                  Term Frequency: 0         
Term: to                             Term Frequency: 0         
Term: honored.For                    Term Frequency: 0         
Term: Gustavo                        Term Frequency: 0         
Term: Full                           Term Frequency: 0         
Term: Learning                       Term Frequency: 0         
Term: Tech                           Term Frequency: 0         
Term: this                           Term Frequency: 0         
Term: Lars                           Term Frequency: 0         
Term: Santos                         Term Frequency: 0         
Term: Maria                          Term Frequency: 0         
Term: What                           Term Frequency: 0         
Term: KlerkxDept                     Term Frequency: 0         
Term: CHsten.govaerts                Term Frequency: 0         
Term: GalindoKM                      Term Frequency: 0         
Term: Merino                         Term Frequency: 0         
Term: Mone                           Term Frequency: 0         
Term: evaluation.Each                Term Frequency: 0         
Term: Parra                          Term Frequency: 0         
Term: Subject                        Term Frequency: 0         
Term: Till                           Term Frequency: 0         
Term: Catolica                       Term Frequency: 0         
Term: DuvalDept                      Term Frequency: 0         
Term: 394We                          Term Frequency: 0         
Term: Ulrich                         Term Frequency: 0         
Term: Duval                          Term Frequency: 0         
Term: Alexandra                      Term Frequency: 0         
Term: Computing                      Term Frequency: 0         
Term: epfl.chXavier                  Term Frequency: 0         
Term: Challenge                      Term Frequency: 0         
Term: JTEL                           Term Frequency: 0         
Term: Judy                           Term Frequency: 0         
Term: Martinez                       Term Frequency: 0         
Term: Summer                         Term Frequency: 0         
Term: cs.kuleuven.beKatrien          Term Frequency: 0         
Term: Mul                            Term Frequency: 0         
Term: Systems                        Term Frequency: 0         
Term: Capturingand                   Term Frequency: 0         
Term: Inf                            Term Frequency: 0         
Term: User                           Term Frequency: 0         
Term: Science                        Term Frequency: 0         
Term: Typical                        Term Frequency: 0         
Term: InterfacesGeneral              Term Frequency: 0         
Term: will                           Term Frequency: 0         
Term: Management                     Term Frequency: 0         
Term: Via                            Term Frequency: 0         
Term: Hoppe                          Term Frequency: 0         
Term: Aspects                        Term Frequency: 0         
