Term: reported                       Term Frequency: 2         
Term: measures                       Term Frequency: 2         
Term: performed                      Term Frequency: 2         
Term: shown                          Term Frequency: 2         
Term: created                        Term Frequency: 2         
Term: instructor                     Term Frequency: 2         
Term: creates                        Term Frequency: 2         
Term: going                          Term Frequency: 2         
Term: distinctive                    Term Frequency: 2         
Term: cohort                         Term Frequency: 2         
Term: back                           Term Frequency: 2         
Term: showing                        Term Frequency: 2         
Term: 3.1                            Term Frequency: 2         
Term: forward                        Term Frequency: 2         
Term: labelled                       Term Frequency: 2         
Term: 13                             Term Frequency: 2         
Term: 17                             Term Frequency: 2         
Term: 19                             Term Frequency: 2         
Term: 20                             Term Frequency: 2         
Term: 22                             Term Frequency: 2         
Term: 27                             Term Frequency: 2         
Term: 29                             Term Frequency: 2         
Term: long                           Term Frequency: 2         
Term: 1st                            Term Frequency: 2         
Term: 30                             Term Frequency: 2         
Term: 35                             Term Frequency: 2         
Term: progress                       Term Frequency: 2         
Term: 40                             Term Frequency: 2         
Term: 49                             Term Frequency: 2         
Term: needed                         Term Frequency: 2         
Term: judgements                     Term Frequency: 2         
Term: interest                       Term Frequency: 2         
Term: themselves                     Term Frequency: 2         
Term: apply                          Term Frequency: 2         
Term: 94                             Term Frequency: 2         
Term: 99                             Term Frequency: 2         
Term: theory                         Term Frequency: 2         
Term: extension                      Term Frequency: 2         
Term: foundation                     Term Frequency: 2         
Term: scientific                     Term Frequency: 2         
Term: appropriate                    Term Frequency: 2         
Term: annotation                     Term Frequency: 2         
Term: need                           Term Frequency: 2         
Term: useful                         Term Frequency: 2         
Term: called                         Term Frequency: 2         
Term: compose                        Term Frequency: 2         
Term: rigorous                       Term Frequency: 2         
Term: forms                          Term Frequency: 2         
Term: establishing                   Term Frequency: 2         
Term: sharing                        Term Frequency: 2         
Term: improving                      Term Frequency: 2         
Term: visualise                      Term Frequency: 2         
Term: grew                           Term Frequency: 2         
Term: decide                         Term Frequency: 2         
Term: web                            Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: looks                          Term Frequency: 2         
Term: provoke                        Term Frequency: 2         
Term: topic                          Term Frequency: 2         
Term: perceive                       Term Frequency: 2         
Term: integrated                     Term Frequency: 2         
Term: drafts                         Term Frequency: 2         
Term: various                        Term Frequency: 2         
Term: de                             Term Frequency: 2         
Term: never                          Term Frequency: 2         
Term: 5.2                            Term Frequency: 2         
Term: terminology                    Term Frequency: 2         
Term: contrary                       Term Frequency: 2         
Term: digital                        Term Frequency: 2         
Term: go                             Term Frequency: 2         
Term: he                             Term Frequency: 2         
Term: gave                           Term Frequency: 2         
Term: 3rd                            Term Frequency: 2         
Term: formalism                      Term Frequency: 2         
Term: problematic                    Term Frequency: 2         
Term: perspectives                   Term Frequency: 2         
Term: seek                           Term Frequency: 2         
Term: seen                           Term Frequency: 2         
Term: lecture                        Term Frequency: 2         
Term: closer                         Term Frequency: 2         
Term: us                             Term Frequency: 2         
Term: deeply                         Term Frequency: 2         
Term: purpose                        Term Frequency: 2         
Term: scale                          Term Frequency: 2         
Term: recognized                     Term Frequency: 2         
Term: sets                           Term Frequency: 2         
Term: contributes                    Term Frequency: 2         
Term: named                          Term Frequency: 2         
Term: entire                         Term Frequency: 2         
Term: write                          Term Frequency: 2         
Term: classroom                      Term Frequency: 2         
Term: discussed                      Term Frequency: 2         
Term: framework                      Term Frequency: 2         
Term: entity                         Term Frequency: 2         
Term: basis                          Term Frequency: 2         
Term: encyclopedia                   Term Frequency: 2         
Term: conduct                        Term Frequency: 2         
Term: walk                           Term Frequency: 2         
Term: participatory                  Term Frequency: 2         
Term: instructors                    Term Frequency: 2         
Term: last                           Term Frequency: 2         
Term: 7.2                            Term Frequency: 2         
Term: regarded                       Term Frequency: 2         
Term: promise                        Term Frequency: 2         
Term: guidelines                     Term Frequency: 2         
Term: generalize                     Term Frequency: 2         
Term: abstracts                      Term Frequency: 2         
Term: defining                       Term Frequency: 2         
Term: coder                          Term Frequency: 2         
Term: steps                          Term Frequency: 2         
Term: friends                        Term Frequency: 2         
Term: free                           Term Frequency: 2         
Term: face                           Term Frequency: 2         
Term: ratio                          Term Frequency: 2         
Term: indeed                         Term Frequency: 2         
Term: uncoded                        Term Frequency: 2         
Term: according                      Term Frequency: 2         
Term: value                          Term Frequency: 2         
Term: poor                           Term Frequency: 2         
Term: close                          Term Frequency: 2         
